scheduler,K,seed,n,quorum,surplus,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
uniform-budget-delay,60,12,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,13,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,14,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,15,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,16,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,17,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,18,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,19,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,20,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,21,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,22,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,23,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,24,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,25,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,26,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,27,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,28,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,29,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,30,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,31,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,32,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,33,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,34,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,35,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,36,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,37,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,38,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,39,25,13,12,100,161,0,1,0,0,false,false
uniform-budget-delay,60,40,25,13,12,100,161,0,1,0,0,false,false
