scheduler,n,quorum,surplus,seed,k,p,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
prob-interleaved-uniform-budget-delay,25,13,12,170,120,0.2,100,130,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,171,120,0.2,100,138,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,172,120,0.2,100,132,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,173,120,0.2,100,121,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,174,120,0.2,100,118,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,175,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,176,120,0.2,100,123,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,177,120,0.2,100,126,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,178,120,0.2,100,125,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,179,120,0.2,100,124,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,180,120,0.2,100,127,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,181,120,0.2,100,121,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,182,120,0.2,100,143,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,183,120,0.2,100,129,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,184,120,0.2,100,120,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,185,120,0.2,100,126,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,186,120,0.2,100,136,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,187,120,0.2,100,122,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,188,120,0.2,100,119,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,189,120,0.2,100,128,0,1,0,0,false,false
prob-interleaved-uniform-budget-delay,25,13,12,190,120,0.2,100,125,0,1,0,0,false,false
