scheduler,n,quorum,surplus,seed,k,T,steps,timeouts,decisions,retries,max_ballot,reached_step_cap,safety
uniform-budget-delay,5,3,2,160,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,161,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,162,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,163,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,164,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,165,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,166,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,167,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,168,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,169,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,170,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,171,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,172,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,173,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,174,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,175,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,176,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,177,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,178,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,179,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,180,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,181,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,182,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,183,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,184,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,185,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,186,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,187,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,188,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,189,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,190,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,191,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,192,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,193,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,194,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,195,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,196,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,197,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,198,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,199,15,20,46,1,1,1,2,false,false
uniform-budget-delay,5,3,2,200,15,20,46,1,1,1,2,false,false
progress-aware-quorum-delay,5,3,2,1,15,20,46,1,1,1,2,false,false
progress-aware-quorum-delay,5,3,2,2,15,20,46,1,1,1,2,false,false
progress-aware-quorum-delay,5,3,2,3,15,20,46,1,1,1,2,false,false
progress-aware-quorum-delay,5,3,2,4,15,20,46,1,1,1,2,false,false
progress-aware-quorum-delay,5,3,2,5,15,20,46,1,1,1,2,false,false
progress-aware-quorum-delay,5,3,2,6,15,20,46,1,1,1,2,false,false
progress-aware-quorum-delay,5,3,2,7,15,20,46,1,1,1,2,false,false
progress-aware-quorum-delay,5,3,2,8,15,20,46,1,1,1,2,false,false
progress-aware-quorum-delay,5,3,2,9,15,20,46,1,1,1,2,false,false
